label,text
ham,"I'm going to the store. Do you need anything?"
spam,"Congratulations! You've won a free ticket to the Bahamas! Click here to claim."
ham,"Are you coming to the party tomorrow night?"
spam,"Get cheap meds online without a prescription. Visit our site now!"
ham,"Let's have lunch together sometime next week."
spam,"Win a $1000 gift card now by just entering your details!"
ham,"Can you send me the report by end of the day?"
spam,"Lowest price for the best vacations. Book now!"
ham,"I'll call you when I get home."
spam,"You have been selected for a special prize. Claim now!"
ham,"Don't forget to pick up the dry cleaning."
spam,"Exclusive offer just for you! Save 50% on your next purchase."
ham,"Meeting is scheduled for 10 AM tomorrow."
spam,"Earn money from home without any investment! Sign up today."
ham,"Did you finish the homework for tomorrow?"
spam,"You have an urgent message waiting for you. Check it out!"
ham,"Happy birthday! Hope you have a wonderful day."
spam,"Your account has been compromised. Verify your identity now."
ham,"I'll be late to the meeting, stuck in traffic."
spam,"This is your last chance to save on our exclusive deals."
ham,"Can we reschedule our meeting to next week?"
spam,"You have won a free cruise to the Caribbean. Act now!"
ham,"Please review the attached document before our call."
spam,"Limited time offer! Get two for the price of one."
ham,"Looking forward to our dinner tonight."
spam,"Claim your free lottery ticket before it expires."
ham,"Thanks for your help with the project."
spam,"You've been pre-approved for a $5000 loan. Apply now!"
ham,"Don't forget about our meeting at 3 PM."
spam,"Your credit score is too low. Fix it here."
ham,"I'll send you the details in an email."
spam,"Congratulations, you have won a new car! Click to claim."
